,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
19,Aundh Camp        ,18.501009,73.832877,Coffee & Bread Art Cafe,18.504055300870068,73.83086798780846,Café
20,Aundh Camp        ,18.501009,73.832877,Abhishek Veg,18.50384200573861,73.83058430995754,Vegetarian / Vegan Restaurant
21,Aundh Camp        ,18.501009,73.832877,Multi Spice,18.501569760214604,73.83458174522859,Indian Restaurant
22,Aundh Camp        ,18.501009,73.832877,Harvest Club,18.502126211742613,73.83554493185956,Indian Restaurant
23,Aundh Camp        ,18.501009,73.832877,Khidki Wada Pav,18.500377577172287,73.83183519547669,Snack Place
24,Aundh T.S.        ,18.552157,73.815439,Personna Furnishings,18.5521567,73.8154394,Furniture / Home Store
25,Aundh T.S.        ,18.552157,73.815439,"Cafe Durga, Kharadi",18.54966391445632,73.81477596929201,Coffee Shop
26,Aundh T.S.        ,18.552157,73.815439,The Oval Garden,18.549529557110993,73.81610859473633,Park
27,Aundh T.S.        ,18.552157,73.815439,Kiva Brew Pub,18.55469528675377,73.81381095907037,Bar
28,Aundh          ,18.555964000000003,73.804439,Lost The Plot,18.55441705754062,73.80480775361278,Lounge
29,Aundh          ,18.555964000000003,73.804439,Yolkshire,18.55357605468349,73.80688828707882,English Restaurant
30,Aundh          ,18.555964000000003,73.804439,Cafe Peter Donuts,18.55774038538134,73.80440120069147,Donut Shop
31,Aundh          ,18.555964000000003,73.804439,La Bouchee d'Or,18.558395340284914,73.8037872123466,Bakery
32,Aundh          ,18.555964000000003,73.804439,Melange - High Spirited Dining,18.554732470044367,73.8046899746739,Restaurant
33,Aundh          ,18.555964000000003,73.804439,Air Life Studio,18.553572828434206,73.80696545202225,Gym
34,Aundh          ,18.555964000000003,73.804439,Seasons Hotel,18.55465215489737,73.80480538162773,Hotel
35,Aundh          ,18.555964000000003,73.804439,Magnolia,18.553912690747158,73.80189240886845,Asian Restaurant
36,Aundh          ,18.555964000000003,73.804439,Cream Stone,18.553448166130234,73.80255142769138,Ice Cream Shop
37,Aundh          ,18.555964000000003,73.804439,cafe Joshua,18.55784509437005,73.80487290332563,Café
38,Aundh          ,18.555964000000003,73.804439,Croma,18.55356205401556,73.80701587886603,Electronics Store
39,Aundh          ,18.555964000000003,73.804439,Cinnamon Spice - Desi Tadka,18.555145297973432,73.80462477780765,Indian Restaurant
40,Aundh          ,18.555964000000003,73.804439,Chitale Bandhu Mithaiwale,18.55775436951706,73.80546744585911,Dessert Shop
41,Aundh          ,18.555964000000003,73.804439,Baskin-Robbins,18.553160707309527,73.8026842820838,Ice Cream Shop
42,Aundh          ,18.555964000000003,73.804439,Makkhan Maar Ke,18.554067229606947,73.8018238901343,Punjabi Restaurant
43,Aundh          ,18.555964000000003,73.804439,Anna Idli,18.55281460198554,73.80320456394246,South Indian Restaurant
44,Aundh          ,18.555964000000003,73.804439,Cafe Chokolade,18.55403715446756,73.80487595882266,Café
45,Aundh          ,18.555964000000003,73.804439,Cakes And More,18.554555756191252,73.80493609150686,Dessert Shop
46,Aundh          ,18.555964000000003,73.804439,Juice Destination,18.553555132381188,73.8069045093852,Food Court
47,Aundh          ,18.555964000000003,73.804439,Mythical East,18.55481106933223,73.80496481340077,Chinese Restaurant
48,Aundh          ,18.555964000000003,73.804439,Kiva Nea,18.55782617024372,73.80459217770263,Diner
